song_a,album_a,song_b,album_b,similarity
Lose You To Love Me,Rare (Target Exclusive),Feel Me,Rare (Bonus Track Version),0.6902
Lose You To Love Me,Rare (Target Exclusive),Only You,13 Reasons Why (Season 1),0.6295
Lose You To Love Me,Rare (Target Exclusive),Love Will Remember,Stars Dance,0.6096
Lose You To Love Me,Rare (Target Exclusive),Forget Forever,Stars Dance,0.6937
Lose You To Love Me,Rare (Target Exclusive),Sad Serenade,Unreleased Songs,0.6153
Lose You To Love Me,Rare (Target Exclusive),Lover In Me,Stars Dance,0.6172
Lose You To Love Me,Rare (Target Exclusive),Back to You (Riton & Kah-Lo Remix),Helix (Volume 2),0.6105
Lose You To Love Me,Rare (Target Exclusive),Music Feels Better,Stars Dance,0.6263
Lose You To Love Me,Rare (Target Exclusive),Praise You,Unreleased Songs,0.6035
Lose You To Love Me,Rare (Target Exclusive),Forget Forever (ST£FAN Remix),For You,0.6963
Lose You To Love Me,Rare (Target Exclusive),A Year Without Rain (Dave Audé Radio Remix),For You,0.63
Lose You To Love Me,Rare (Target Exclusive),Lose You To Love Me (Demo Version),,0.9812
Lose You To Love Me,Rare (Target Exclusive),Wolves,,0.6128
Lose You To Love Me,Rare (Target Exclusive),Feel Me (Demo),Unreleased Songs,0.6294
Lose You To Love Me,Rare (Target Exclusive),Feel Me (Live from Revival Tour),,0.6902
Lose You To Love Me,Rare (Target Exclusive),Back To You (Kennedy Remix),,0.6053
Lose You To Love Me,Rare (Target Exclusive),My World,,0.6791
Lose You To Love Me,Rare (Target Exclusive),Stay Alive,,0.6251
Back to You,Rare (Target Exclusive),The Heart Wants What It Wants,For You,0.646
Back to You,Rare (Target Exclusive),Feel Me,Rare (Bonus Track Version),0.6181
Back to You,Rare (Target Exclusive),Same Old Love,Revival,0.6042
Back to You,Rare (Target Exclusive),Vulnerable,Rare (Target Exclusive),0.6
Back to You,Rare (Target Exclusive),People You Know,Rare (Target Exclusive),0.6295
Back to You,Rare (Target Exclusive),Only You,13 Reasons Why (Season 1),0.6316
Back to You,Rare (Target Exclusive),Cut You Off,Rare (Target Exclusive),0.6531
Back to You,Rare (Target Exclusive),Kinda Crazy,Rare (Target Exclusive),0.6345
Back to You,Rare (Target Exclusive),Camouflage,Revival,0.7059
Back to You,Rare (Target Exclusive),Same Old Love (Remix),,0.6021
Back to You,Rare (Target Exclusive),Forget Forever,Stars Dance,0.6472
Back to You,Rare (Target Exclusive),Nobody Does It Like You,Stars Dance,0.6106
Back to You,Rare (Target Exclusive),I Like It That Way,Stars Dance,0.6594
Back to You,Rare (Target Exclusive),Back to You (Riton & Kah-Lo Remix),Helix (Volume 2),0.7458
Back to You,Rare (Target Exclusive),Out Of My Head,Unreleased Songs,0.6454
Back to You,Rare (Target Exclusive),Give You Up,Unreleased Songs,0.646
Back to You,Rare (Target Exclusive),Bang A Drum,Another Cinderella Story - EP,0.6017
Back to You,Rare (Target Exclusive),Forget Forever (ST£FAN Remix),For You,0.6431
Back to You,Rare (Target Exclusive),Magical,Wizards of Waverly Place (Songs From & Inspired By the TV Series & Movie),0.6663
Back to You,Rare (Target Exclusive),Great Escape,Unreleased Songs,0.6009
Back to You,Rare (Target Exclusive),Back to You (Anki Remix),,0.9254
Back to You,Rare (Target Exclusive),Feel Me (Live from Revival Tour),,0.6181
Back to You,Rare (Target Exclusive),Back To You (Kennedy Remix),,0.9304
Back to You,Rare (Target Exclusive),Same Old Love (Borgore Remix),Same Old Love (Remixes),0.623
Back to You,Rare (Target Exclusive),Same Old Love (Filous Remix),Same Old Love (Remixes),0.6246
Back to You,Rare (Target Exclusive),Same Old Love (Romos Remix),Same Old Love (Remixes),0.6187
Back to You,Rare (Target Exclusive),Back To You (Nightcore Remix),,0.9793
Back to You,Rare (Target Exclusive),The Heart Wants What It Wants (Nightcore Remix),,0.646
Back to You,Rare (Target Exclusive),Same Old Love (Wuki Remix),Same Old Love (Remixes),0.6183
Fetish,Rare (Target Exclusive),Good for You,Revival,0.663
Fetish,Rare (Target Exclusive),Same Old Love,Revival,0.6684
Fetish,Rare (Target Exclusive),Me & The Rhythm,Revival,0.6086
Fetish,Rare (Target Exclusive),Can’t Steal Our Love,Unreleased Songs,0.6767
Fetish,Rare (Target Exclusive),Same Old Love (Remix),,0.6753
Fetish,Rare (Target Exclusive),Back to You (Riton & Kah-Lo Remix),Helix (Volume 2),0.6497
Fetish,Rare (Target Exclusive),Expressing Myself,Unreleased Songs,0.6894
Fetish,Rare (Target Exclusive),Congratulations to Me,Unreleased Songs,0.6099
Fetish,Rare (Target Exclusive),Fetish (Galantis Remix),Helix (Volume 1),0.9833
Fetish,Rare (Target Exclusive),You Don’t Own Me (Cover) / Me & My Girls,,0.6133
Fetish,Rare (Target Exclusive),Unfamiliar (Demo),Unreleased Songs,0.6328
Fetish,Rare (Target Exclusive),Good For You (Kasbo Remix),Good for You (Remixes),0.7116
Fetish,Rare (Target Exclusive),Good For You (AKZEL Remix),,0.6304
Fetish,Rare (Target Exclusive),Good For You (Phantoms Remix),,0.636
Fetish,Rare (Target Exclusive),Good For You (Nebbra Remix),Good for You (Remixes),0.6926
Fetish,Rare (Target Exclusive),Fetish (Single Version),,0.8658
Fetish,Rare (Target Exclusive),Good For You (Yellow Claw & Cesqeaux Remix),Good for You (Remixes),0.6486
Fetish,Rare (Target Exclusive),Same Old Love (Borgore Remix),Same Old Love (Remixes),0.684
Fetish,Rare (Target Exclusive),Same Old Love (Filous Remix),Same Old Love (Remixes),0.6854
Fetish,Rare (Target Exclusive),Same Old Love (Romos Remix),Same Old Love (Remixes),0.666
Fetish,Rare (Target Exclusive),Same Old Love (Wuki Remix),Same Old Love (Remixes),0.6886
Good for You,Revival,Same Old Love,Revival,0.641
Good for You,Revival,Me & The Rhythm,Revival,0.6143
Good for You,Revival,Can’t Steal Our Love,Unreleased Songs,0.6296
Good for You,Revival,Same Old Love (Remix),,0.6054
Good for You,Revival,Back to You (Riton & Kah-Lo Remix),Helix (Volume 2),0.612
Good for You,Revival,Expressing Myself,Unreleased Songs,0.7206
Good for You,Revival,Congratulations to Me,Unreleased Songs,0.6483
Good for You,Revival,Fetish (Galantis Remix),Helix (Volume 1),0.6751
Good for You,Revival,Unfamiliar (Demo),Unreleased Songs,0.6462
Good for You,Revival,Love’s Not Over,Unreleased Songs,0.661
Good for You,Revival,Good For You (Kasbo Remix),Good for You (Remixes),0.8999
Good for You,Revival,Good for You (Single Version),,0.9524
Good for You,Revival,Good For You (AKZEL Remix),,0.8741
Good for You,Revival,Good For You (Phantoms Remix),,0.8814
Good for You,Revival,Good For You (Nebbra Remix),Good for You (Remixes),0.9533
Good for You,Revival,Good For You (Yellow Claw & Cesqeaux Remix),Good for You (Remixes),0.8798
Good for You,Revival,Same Old Love (Borgore Remix),Same Old Love (Remixes),0.632
Good for You,Revival,Same Old Love (Filous Remix),Same Old Love (Remixes),0.6421
Good for You,Revival,Same Old Love (Wuki Remix),Same Old Love (Remixes),0.624
The Heart Wants What It Wants,For You,Vulnerable,Rare (Target Exclusive),0.6462
The Heart Wants What It Wants,For You,Camouflage,Revival,0.6435
The Heart Wants What It Wants,For You,Body Heat,Revival,0.6293
The Heart Wants What It Wants,For You,Wild Love,Unreleased Songs,0.6389
The Heart Wants What It Wants,For You,Give You Up,Unreleased Songs,1.0
The Heart Wants What It Wants,For You,Make It Happen,,0.6293
The Heart Wants What It Wants,For You,Back to You (Anki Remix),,0.625
The Heart Wants What It Wants,For You,Back To You (Kennedy Remix),,0.649
The Heart Wants What It Wants,For You,Back To You (Nightcore Remix),,0.6167
The Heart Wants What It Wants,For You,The Heart Wants What It Wants (Nightcore Remix),,1.0
Hands to Myself,Revival,Hands to Myself (Betablock3r Remix),Hands to Myself (Remixes),0.9739
Hands to Myself,Revival,Hands to Myself (Fareoh Remix),Hands to Myself (Remixes),0.9345
Feel Me,Rare (Bonus Track Version),Vulnerable,Rare (Target Exclusive),0.6012
Feel Me,Rare (Bonus Track Version),Only You,13 Reasons Why (Season 1),0.6561
Feel Me,Rare (Bonus Track Version),Let Me Get Me,Rare (Target Exclusive),0.6057
Feel Me,Rare (Bonus Track Version),Camouflage,Revival,0.6428
Feel Me,Rare (Bonus Track Version),Nobody,Revival,0.6305
Feel Me,Rare (Bonus Track Version),Me & The Rhythm,Revival,0.6407
Feel Me,Rare (Bonus Track Version),Cologne,Revival,0.7096
Feel Me,Rare (Bonus Track Version),Body Heat,Revival,0.6054
Feel Me,Rare (Bonus Track Version),Undercover,Stars Dance,0.6254
Feel Me,Rare (Bonus Track Version),Forget Forever,Stars Dance,0.6478
Feel Me,Rare (Bonus Track Version),Save the Day,Stars Dance,0.6974
Feel Me,Rare (Bonus Track Version),I Like It That Way,Stars Dance,0.622
Feel Me,Rare (Bonus Track Version),Sad Serenade,Unreleased Songs,0.6216
Feel Me,Rare (Bonus Track Version),Lover In Me,Stars Dance,0.6502
Feel Me,Rare (Bonus Track Version),Back to You (Riton & Kah-Lo Remix),Helix (Volume 2),0.6529
Feel Me,Rare (Bonus Track Version),Music Feels Better,Stars Dance,0.6563
Feel Me,Rare (Bonus Track Version),Praise You,Unreleased Songs,0.6089
Feel Me,Rare (Bonus Track Version),Forget Forever (ST£FAN Remix),For You,0.6564
Feel Me,Rare (Bonus Track Version),A Year Without Rain (Dave Audé Radio Remix),For You,0.653
Feel Me,Rare (Bonus Track Version),Redlight,,0.6254
Feel Me,Rare (Bonus Track Version),Lose You To Love Me (Demo Version),,0.6869
Feel Me,Rare (Bonus Track Version),Great Escape,Unreleased Songs,0.6922
Feel Me,Rare (Bonus Track Version),Come & Get It (Cosmic Dawn Club Remix),Slow Down - EP,0.6418
Feel Me,Rare (Bonus Track Version),Feel Me (Demo),Unreleased Songs,0.9023
Feel Me,Rare (Bonus Track Version),Feel Me (Live from Revival Tour),,1.0
Feel Me,Rare (Bonus Track Version),Come & Get It (Jump Smokers Extended Remix),Stars Dance,0.629
Feel Me,Rare (Bonus Track Version),Back To You (Kennedy Remix),,0.6478
Feel Me,Rare (Bonus Track Version),Slow Down (Smash Mode Remix),Slow Down (Remixes),0.6069
Feel Me,Rare (Bonus Track Version),Slow Down (Jason Nevins Remix),Slow Down (Remixes),0.6165
Feel Me,Rare (Bonus Track Version),Come & Get It (Cahill Club Remix),Come & Get It (Remixes),0.607
Feel Me,Rare (Bonus Track Version),Back To You (Nightcore Remix),,0.6073
Feel Me,Rare (Bonus Track Version),Stay Alive,,0.606
Feel Me,Rare (Bonus Track Version),Come & Get It (Dave Audé Club Remix),Come & Get It (Remixes),0.6167
Feel Me,Rare (Bonus Track Version),Come & Get It (Fred Falke Club Remix),Come & Get It (Remixes),0.642
Same Old Love,Revival,Me & The Rhythm,Revival,0.6421
Same Old Love,Revival,Can’t Steal Our Love,Unreleased Songs,0.6767
Same Old Love,Revival,Same Old Love (Remix),,0.9018
Same Old Love,Revival,Back to You (Riton & Kah-Lo Remix),Helix (Volume 2),0.7632
Same Old Love,Revival,Expressing Myself,Unreleased Songs,0.7722
Same Old Love,Revival,Congratulations to Me,Unreleased Songs,0.6044
Same Old Love,Revival,Fetish (Galantis Remix),Helix (Volume 1),0.6708
Same Old Love,Revival,You Don’t Own Me (Cover) / Me & My Girls,,0.6373
Same Old Love,Revival,Unfamiliar (Demo),Unreleased Songs,0.6473
Same Old Love,Revival,Love’s Not Over,Unreleased Songs,0.6316
Same Old Love,Revival,Good For You (Kasbo Remix),Good for You (Remixes),0.6445
Same Old Love,Revival,Good For You (Nebbra Remix),Good for You (Remixes),0.6444
Same Old Love,Revival,Love Will Remember (Demo),Unreleased Songs,0.6305
Same Old Love,Revival,Good For You (Yellow Claw & Cesqeaux Remix),Good for You (Remixes),0.6545
Same Old Love,Revival,Same Old Love (Borgore Remix),Same Old Love (Remixes),0.9403
Same Old Love,Revival,Same Old Love (Filous Remix),Same Old Love (Remixes),0.9203
Same Old Love,Revival,Same Old Love (Romos Remix),Same Old Love (Remixes),0.933
Same Old Love,Revival,Same Old Love (Wuki Remix),Same Old Love (Remixes),0.936
Rare,Rare (Target Exclusive),Rare (Live From The Village Studio),,0.9786
Rare,Rare (Target Exclusive),Rare (80's Version),,0.9772
Vulnerable,Rare (Target Exclusive),Give You Up,Unreleased Songs,0.6462
Vulnerable,Rare (Target Exclusive),Back to You (Anki Remix),,0.6183
Vulnerable,Rare (Target Exclusive),Feel Me (Live from Revival Tour),,0.6012
Vulnerable,Rare (Target Exclusive),Back To You (Kennedy Remix),,0.6328
Vulnerable,Rare (Target Exclusive),The Heart Wants What It Wants (Nightcore Remix),,0.6462
Kill Em With Kindness,Revival,Kill Em With Kindness (Acoustic),,0.9714
Kill Em With Kindness,Revival,Kill Em with Kindness (Felix Cartal Remix),Kill Em With Kindness (Remixes),1.0
Kill Em With Kindness,Revival,Kill Em With Kindness (MAGIX Radio Edit),,0.9728
Kill Em With Kindness,Revival,Kill Em with Kindness (River Tiber Remix),Kill Em With Kindness (Remixes),1.0
Kill Em With Kindness,Revival,Kill Em with Kindness (Young Bombs Remix),Kill Em With Kindness (Remixes),1.0
Ring,Rare (Target Exclusive),Kinda Crazy,Rare (Target Exclusive),0.6037
Ring,Rare (Target Exclusive),Body Heat,Revival,0.6036
Ring,Rare (Target Exclusive),Bang A Drum,Another Cinderella Story - EP,0.6034
Ring,Rare (Target Exclusive),Bang,Unreleased Songs,0.6095
People You Know,Rare (Target Exclusive),Only You,13 Reasons Why (Season 1),0.6123
People You Know,Rare (Target Exclusive),Camouflage,Revival,0.6246
People You Know,Rare (Target Exclusive),Back to You (Anki Remix),,0.6119
People You Know,Rare (Target Exclusive),Back To You (Kennedy Remix),,0.6159
People You Know,Rare (Target Exclusive),Back To You (Nightcore Remix),,0.6156
Only You,13 Reasons Why (Season 1),Camouflage,Revival,0.614
Only You,13 Reasons Why (Season 1),Love Will Remember,Stars Dance,0.6322
Only You,13 Reasons Why (Season 1),Cologne,Revival,0.6222
Only You,13 Reasons Why (Season 1),Forget Forever,Stars Dance,0.6852
Only You,13 Reasons Why (Season 1),Sad Serenade,Unreleased Songs,0.6235
Only You,13 Reasons Why (Season 1),Back to You (Riton & Kah-Lo Remix),Helix (Volume 2),0.6263
Only You,13 Reasons Why (Season 1),Forget Forever (ST£FAN Remix),For You,0.6932
Only You,13 Reasons Why (Season 1),Magical,Wizards of Waverly Place (Songs From & Inspired By the TV Series & Movie),0.6291
Only You,13 Reasons Why (Season 1),A Year Without Rain (Dave Audé Radio Remix),For You,0.6363
Only You,13 Reasons Why (Season 1),Lose You To Love Me (Demo Version),,0.6301
Only You,13 Reasons Why (Season 1),Feel Me (Demo),Unreleased Songs,0.6017
Only You,13 Reasons Why (Season 1),Back to You (Anki Remix),,0.6167
Only You,13 Reasons Why (Season 1),Feel Me (Live from Revival Tour),,0.6561
Only You,13 Reasons Why (Season 1),Back To You (Kennedy Remix),,0.6647
Only You,13 Reasons Why (Season 1),Back To You (Nightcore Remix),,0.6102
Only You,13 Reasons Why (Season 1),My World,,0.6512
A Sweeter Place,Rare (Target Exclusive),Same Old Love (Remix),,0.6266
A Sweeter Place,Rare (Target Exclusive),Back to You (Riton & Kah-Lo Remix),Helix (Volume 2),0.6204
A Sweeter Place,Rare (Target Exclusive),Expressing Myself,Unreleased Songs,0.6621
A Sweeter Place,Rare (Target Exclusive),Same Old Love (Borgore Remix),Same Old Love (Remixes),0.6154
A Sweeter Place,Rare (Target Exclusive),Same Old Love (Filous Remix),Same Old Love (Remixes),0.6214
A Sweeter Place,Rare (Target Exclusive),Same Old Love (Romos Remix),Same Old Love (Remixes),0.6052
A Sweeter Place,Rare (Target Exclusive),Same Old Love (Wuki Remix),Same Old Love (Remixes),0.6171
De Una Vez,Revelación - EP,Bidi Bidi Bom Bom,For You,0.6183
Cut You Off,Rare (Target Exclusive),Sober,Revival,0.687
Cut You Off,Rare (Target Exclusive),I Like It That Way,Stars Dance,0.6032
Cut You Off,Rare (Target Exclusive),Back to You (Riton & Kah-Lo Remix),Helix (Volume 2),0.6067
Cut You Off,Rare (Target Exclusive),Out Of My Head,Unreleased Songs,0.6302
Cut You Off,Rare (Target Exclusive),Back to You (Anki Remix),,0.6436
Cut You Off,Rare (Target Exclusive),Back To You (Kennedy Remix),,0.6577
Cut You Off,Rare (Target Exclusive),Back To You (Nightcore Remix),,0.6535
Perfect,Revival,Perfect (Unreleased),,0.9976
Dance Again,Rare (Target Exclusive),Let Me Get Me,Rare (Target Exclusive),0.6316
Come & Get It,Stars Dance,Come & Get It (Cosmic Dawn Club Remix),Slow Down - EP,0.9212
Come & Get It,Stars Dance,Come & Get It (Jump Smokers Extended Remix),Stars Dance,0.9289
Come & Get It,Stars Dance,Come & Get It (Cahill Club Remix),Come & Get It (Remixes),0.9637
Come & Get It,Stars Dance,Come & Get It (Robert DeLong Remix),Come & Get It (Remixes),0.7698
Come & Get It,Stars Dance,Come & Get It (Dave Audé Club Remix),Come & Get It (Remixes),0.9684
Come & Get It,Stars Dance,Come & Get It (DJ M3 Mixshow Extended Remix),Come & Get It (Remixes),1.0
Come & Get It,Stars Dance,Come & Get It (Fred Falke Club Remix),Come & Get It (Remixes),0.9027
Sober,Revival,I Like It That Way,Stars Dance,0.601
Let Me Get Me,Rare (Target Exclusive),Me & The Rhythm,Revival,0.6228
Let Me Get Me,Rare (Target Exclusive),Save the Day,Stars Dance,0.6063
Let Me Get Me,Rare (Target Exclusive),Great Escape,Unreleased Songs,0.6596
Let Me Get Me,Rare (Target Exclusive),Feel Me (Live from Revival Tour),,0.6057
Let Me Get Me,Rare (Target Exclusive),Slow Down (Jason Nevins Remix),Slow Down (Remixes),0.6027
Kinda Crazy,Rare (Target Exclusive),Nobody Does It Like You,Stars Dance,0.6217
Kinda Crazy,Rare (Target Exclusive),Back To You (Nightcore Remix),,0.6371
Everything Is Not As It Seems,Wizards of Waverly Place (Songs From & Inspired By the TV Series & Movie),Everything Is Not What It Seems (Wizards of Waverly Place Full Theme Song),Disney Channel Playlist,0.8232
Slow Down,Stars Dance,Me & The Rhythm,Revival,0.6169
Slow Down,Stars Dance,Shake It Up,Shake It Up: Break It Down ,0.6508
Slow Down,Stars Dance,Nobody Does It Like You,Stars Dance,0.6004
Slow Down,Stars Dance,Praise You,Unreleased Songs,0.6152
Slow Down,Stars Dance,Shake It Up (Theme Song) [Cole Plante Reboot Remix],Shake It Up: I ♡ Dance,0.6553
Slow Down,Stars Dance,Redlight,,0.6262
Slow Down,Stars Dance,Bang,Unreleased Songs,0.6322
Slow Down,Stars Dance,Great Escape,Unreleased Songs,0.6128
Slow Down,Stars Dance,Slow Down (Paolo Ortelli & Luke Degree Remix),Slow Down (Remixes),0.997
Slow Down,Stars Dance,Come & Get It (Cosmic Dawn Club Remix),Slow Down - EP,0.6174
Slow Down,Stars Dance,Slow Down (Chew Fu Refix),Slow Down (Remixes),0.9284
Slow Down,Stars Dance,Slow Down (Smash Mode Remix),Slow Down (Remixes),0.9216
Slow Down,Stars Dance,Slow Down (DJLW Remix),Slow Down (Remixes),0.997
Slow Down,Stars Dance,Slow Down (Jason Nevins Remix),Slow Down (Remixes),0.9861
Slow Down,Stars Dance,Slow Down (Danny Verde Remix),Slow Down (Remixes),0.874
Slow Down,Stars Dance,Come & Get It (Fred Falke Club Remix),Come & Get It (Remixes),0.6077
Me & My Girls,Revival,Undercover,Stars Dance,0.6119
Me & My Girls,Revival,You Don’t Own Me (Cover) / Me & My Girls,,0.8454
Camouflage,Revival,Love Will Remember,Stars Dance,0.6199
Camouflage,Revival,Cologne,Revival,0.6763
Camouflage,Revival,Same Old Love (Remix),,0.6064
Camouflage,Revival,Forget Forever,Stars Dance,0.6211
Camouflage,Revival,Nobody Does It Like You,Stars Dance,0.6029
Camouflage,Revival,Wild Love,Unreleased Songs,0.6004
Camouflage,Revival,Sad Serenade,Unreleased Songs,0.6014
Camouflage,Revival,Back to You (Riton & Kah-Lo Remix),Helix (Volume 2),0.6797
Camouflage,Revival,Give You Up,Unreleased Songs,0.6435
Camouflage,Revival,Forget Forever (ST£FAN Remix),For You,0.6171
Camouflage,Revival,Magical,Wizards of Waverly Place (Songs From & Inspired By the TV Series & Movie),0.6027
Camouflage,Revival,Great Escape,Unreleased Songs,0.6331
Camouflage,Revival,Back to You (Anki Remix),,0.6454
Camouflage,Revival,Feel Me (Live from Revival Tour),,0.6428
Camouflage,Revival,Back To You (Kennedy Remix),,0.7002
Camouflage,Revival,Same Old Love (Borgore Remix),Same Old Love (Remixes),0.6235
Camouflage,Revival,Same Old Love (Filous Remix),Same Old Love (Remixes),0.6136
Camouflage,Revival,Same Old Love (Romos Remix),Same Old Love (Remixes),0.6336
Camouflage,Revival,Back To You (Nightcore Remix),,0.6925
Camouflage,Revival,The Heart Wants What It Wants (Nightcore Remix),,0.6435
Camouflage,Revival,Same Old Love (Wuki Remix),Same Old Love (Remixes),0.6218
Nobody,Revival,Undercover,Stars Dance,0.6041
Nobody,Revival,Nobody Does It Like You,Stars Dance,0.6265
Nobody,Revival,Feel Me (Live from Revival Tour),,0.6305
Me & The Rhythm,Revival,Cologne,Revival,0.6163
Me & The Rhythm,Revival,Body Heat,Revival,0.6293
Me & The Rhythm,Revival,Undercover,Stars Dance,0.6315
Me & The Rhythm,Revival,Same Old Love (Remix),,0.6274
Me & The Rhythm,Revival,Back to You (Riton & Kah-Lo Remix),Helix (Volume 2),0.616
Me & The Rhythm,Revival,Expressing Myself,Unreleased Songs,0.6655
